cve_id,cwe,cvss_v31_base_score,cvss_v31_exploitability_score,cvss_v31_impact_score,cvss_v2_base_score,cvss_v2_exploitability_score,cvss_v2_impact_score,fuente_cisa,fuente_nuclei
CVE-2009-2015,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2009-2055,CWE-20,5.9,2.2,3.6,4.3,8.6,2.9,True,False
CVE-2009-2100,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2009-3053,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2009-3129,CWE-787,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2009-3318,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2009-3953,CWE-787,8.8,2.8,5.9,10.0,10.0,10.0,True,False
CVE-2009-3960,NVD-CWE-noinfo,6.5,2.8,3.6,4.3,8.6,2.9,True,False
CVE-2009-4202,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2009-4223,CWE-94,,,,7.5,10.0,6.4,False,True
CVE-2009-4324,CWE-416,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2009-4679,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2009-5020,CWE-20,,,,5.8,8.6,4.9,False,True
CVE-2009-5114,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-0157,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-0188,NVD-CWE-noinfo,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2010-0219,CWE-255,,,,10.0,10.0,10.0,False,True
CVE-2010-0232,NVD-CWE-noinfo,7.8,1.8,5.9,7.2,3.9,10.0,True,False
CVE-2010-0467,CWE-22,5.8,3.9,1.4,5.0,10.0,2.9,False,True
CVE-2010-0696,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-0738,NVD-CWE-noinfo,5.3,3.9,1.4,5.0,10.0,2.9,True,False
CVE-2010-0738,CWE-749,5.3,3.9,1.4,5.0,10.0,2.9,True,False
CVE-2010-0759,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-0840,NVD-CWE-noinfo,9.8,3.9,5.9,7.5,10.0,6.4,True,False
CVE-2010-0942,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-0943,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-0944,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-0972,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-0982,CWE-22,,,,4.3,8.6,2.9,False,True
CVE-2010-0985,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1056,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1081,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1217,CWE-22,,,,4.3,8.6,2.9,False,True
CVE-2010-1219,CWE-22,,,,6.8,8.6,6.4,False,True
CVE-2010-1297,CWE-787,7.8,1.8,5.9,9.3,8.6,10.0,True,False
CVE-2010-1302,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1304,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1305,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1306,CWE-22,,,,7.5,10.0,6.4,False,True
CVE-2010-1307,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1308,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1312,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1313,CWE-22,,,,4.3,8.6,2.9,False,True
CVE-2010-1314,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1315,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1340,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1345,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1352,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1353,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1354,CWE-22,,,,5.0,10.0,2.9,False,True
CVE-2010-1428,NVD-CWE-noinfo,7.5,3.9,3.6,5.0,10.0,2.9,True,False
CVE-2010-1428,CWE-749,7.5,3.9,3.6,5.0,10.0,2.9,True,False
CVE-2010-1429,CWE-264,,,,5.0,10.0,2.9,False,True
